Type,Type_specific,Species,Tag,Location of capture,d15N,d13C,percN,percC,Collector,Year collected,Yr_restore,Rest_age,Burn,Sex,Age,Repro,Weight_g,tl_mm,rhf_mm,bl_mm,month,day,Bison,C_N
Small mammal,Mouse,R.meg,2613,HPW,8.77,-16.74,13.92,46.29,Kirstie,2016,2008,8,Unburned,F,A,NA,29,72,16,NA,6,9,Bison,3.325431034
Small mammal,,P.man,2729,SBEX1,8.14,-15.2,13.94,46.61,Sarah N,2018,2009,9,Unburned,M,A,NA,28.5,48,18,49,8,2,No bison,3.343615495
Small mammal,,P.man,2923,SB,5.5,-9.93,13.51,44.83,Angelica B,2019,2009,10,Burned,M,A,NA,32.5,50,14,59,4,8,No bison,3.318282754
Small mammal,,P.man,2924,HPN,4.32,-23.84,13.24,44.65,Angelica B,2019,2012,7,Unburned,M,A,NA,31,52,14.5,56,4,15,Bison,3.372356495
Small mammal,,P.man,2926,TC,5.78,-11.24,13.52,45.09,Angelica B,2019,2002.5,16.5,Unburned,M,A,NA,35.5,48,16,60,4,8,No bison,3.335059172
Small mammal,,P.leu,2930,TCEX,6.49,-18.44,13.56,47.36,Angelica B,2018,2002.5,15.5,Unburned,F,A,L,43,80,21,66,10,3,No bison,3.492625369
Small mammal,,P.man,2932,TC,8.44,-10.43,13.5,45.07,Danielle D,2018,2002.5,15.5,Burned,F,A,L,30,55,16,69.5,4,22,No bison,3.338518519
Small mammal,,P.leu,2936,WH,2.25,-21.4,13.19,43.57,Angelica B,2019,1992,27,Burned,M,A,NA,35,72.5,18,72,4,25,Bison,3.303260045
Small mammal,,P.leu,2937,TCEX,7.75,-17.74,13.62,45.46,Danielle D,2018,2002.5,15.5,Unburned,F,A,NA,37,76,21,60,4,22,No bison,3.33773862
Small mammal,,P.leu,2938,HL,4.87,-23.96,14.07,45.37,Sarah N,2018,2001,17,Burned,F,A,NA,31.5,65,20,61,7,26,Bison,3.224591329
Small mammal,,R.meg,2939,FC,5.01,-26.57,9.74,55.8,Sarah N,2019,2006.5,12.5,Unburned,M,SA,NA,17,62,15,38,8,17,No bison,5.728952772
