Type,Species,Tag,Year,Location,Burn,Bison,d15N,d13C
Small mammal,P.man,9080,2019,CCW,Unburned,No bison,4.15,-24.31
Small mammal,P.man,9089,2019,CCEE,Burned,No bison,11.05,-24.35
Small mammal,P.man,9130,2019,CCEE,Burned,No bison,6.47,-22.86
Small mammal,P.man,9985,2023,CCWE,Burned,No bison,2.90,-15.85
Small mammal,P.leu,7640,2019,TC,Burned,No bison,4.66,-23.70
Small mammal,P.leu,7666,2019,TCE,Burned,No bison,5.55,-22.83
Small mammal,P.leu,9912,2023,HL,Burned,Bison,4.01,-23.78
Small mammal,P.leu,0083,2023,MU,Burned,Bison,1.48,-25.14
Small mammal,P.leu,0000,2023,HL,Burned,Bison,5.64,-25.07
Small mammal,P.leu,7689,2019,HPW,Unburned,Bison,4.88,-23.13
Small mammal,P.leu,0037,2023,HL,Burned,Bison,4.73,-19.55
Small mammal,P.leu,0101,2023,HL,Burned,Bison,2.11,-25.09
Small mammal,P.leu,0037,2023,HL,Burned,Bison,2.12,-16.72
Small mammal,P.leu,9934,2023,HL,Burned,Bison,1.90,-25.89
Small mammal,P.leu,0041,2023,HL,Burned,Bison,3.70,-24.43
Small mammal,P.leu,0064,2023,HL,Burned,Bison,4.03,-23.79
Small mammal,P.leu,9564,2019,SF,Burned,No bison,5.31,-24.13
Small mammal,P.leu,0064,2023,HL,Burned,Bison,1.43,-24.86
Small mammal,P.leu,9978,2023,HL,Burned,Bison,2.29,-24.90
Small mammal,P.leu,0018,2023,MU,Burned,Bison,1.64,-25.66
Small mammal,P.leu,7703,2019,TCE,Burned,No bison,5.41,-22.68
Small mammal,P.leu,9821,2022,WH,Burned,Bison,1.09,-14.24
Small mammal,M.och,7667,2019,CCW,Burned,No bison,4.69,-25.74
Small mammal,M.och,7699,2019,CCEE,Burned,No bison,2.95,-19.32
Small mammal,M.och,9988,2023,HPW,Unburned,Bison,3.88,-23.66
Small mammal,M.och,9935,2023,HPW,Unburned,Bison,2.86,-23.94
Small mammal,M.och,0292,2020,WH,,Bison,2.46,-26.47
Small mammal,M.och,no tag #,2019,FC,Unburned,No bison,3.97,-21.85
Small mammal,M.och,2358,2019,CCEE,Burned,No bison,3.94,-24.39
Small mammal,M.och,9880,2023,HPW,Unburned,Bison,2.67,-25.96
Small mammal,M.och,0017,2023,CCW,Burned,No bison,3.61,-24.89
Small mammal,M.och,2411,2019,FC,Unburned,No bison,4.17,-22.06
Small mammal,M.och,9953,2023,HPW,Unburned,Bison,3.38,-23.46
Small mammal,M.och,7647,2019,TCR,Unburned,No bison,4.42,-27.16
Small mammal,M.och,0149,2023,HPW,Unburned,Bison,3.80,-24.77
Small mammal,M.och,0038,2023,HPW,Unburned,Bison,3.32,-23.48
Small mammal,M.och,9990,2019,HPW,Unburned,Bison,4.35,-24.82
Small mammal,M.och,9778,2023,HPW,Unburned,Bison,3.43,-23.78
Small mammal,M.och,9891,2023,HPW,Unburned,Bison,3.73,-24.77
Small mammal,M.och,0118,2023,HPW,Unburned,Bison,4.23,-24.60
Small mammal,M.och,9861,2023,HPW,Unburned,Bison,4.12,-23.48
Small mammal,M.och,0015,2023,HPW,Unburned,Bison,3.37,-22.57
Small mammal,Z. hud,0054,2023,CCWE,Burned,No bison,5.83,-25.95
